backend,quality,shape,iter,wall_ms,compression_ms
wasm2c,25,loop,0,145.78973699826747,15.603
wasm2c,25,loop,1,134.07758402172476,15.608
wasm2c,25,loop,2,130.98722405266017,15.565
process,25,loop,0,264.52881295699626,120.341
process,25,loop,1,262.2268790146336,119.757
process,25,loop,2,271.70207200106233,128.783
wasm2c,25,stress,0,131.4030810026452,15.637
wasm2c,25,stress,1,139.142706990242,15.577
wasm2c,25,stress,2,131.5935730235651,15.71
process,25,stress,0,185.57518592569977,16.458
process,25,stress,1,167.8251379635185,16.649
process,25,stress,2,142.17957097571343,12.156
wasm2c,50,loop,0,134.68423893209547,17.139
wasm2c,50,loop,1,138.19463492836803,17.103
wasm2c,50,loop,2,143.34392896853387,17.067
process,50,loop,0,290.6452069291845,132.449
process,50,loop,1,275.68307402543724,130.49
process,50,loop,2,380.5903709726408,129.207
wasm2c,50,stress,0,134.934636997059,17.286
wasm2c,50,stress,1,136.13730494398624,17.355
wasm2c,50,stress,2,134.78037808090448,17.273
process,50,stress,0,162.83272008877248,18.156
process,50,stress,1,178.55039099231362,19.553
process,50,stress,2,171.47538589779288,13.506
wasm2c,75,loop,0,140.9227850381285,19.741
wasm2c,75,loop,1,143.09892104938626,19.612
wasm2c,75,loop,2,140.75742196291685,19.628
process,75,loop,0,306.26245704479516,145.782
process,75,loop,1,329.42232897039503,151.345
process,75,loop,2,273.37575098499656,133.87
wasm2c,75,stress,0,140.79250500071794,19.621
wasm2c,75,stress,1,154.43352598231286,19.546
wasm2c,75,stress,2,138.96922999992967,19.58
process,75,stress,0,166.35238600429147,15.684
process,75,stress,1,166.14808095619082,15.7
process,75,stress,2,170.22341897245497,15.624
wasm2c,90,loop,0,151.18591592181474,20.493
wasm2c,90,loop,1,143.5685510514304,20.554
wasm2c,90,loop,2,150.2385720377788,20.732
process,90,loop,0,297.295841970481,139.707
process,90,loop,1,286.2847320502624,142.908
process,90,loop,2,294.1424229647964,127.14
wasm2c,90,stress,0,149.91166291292757,20.72
wasm2c,90,stress,1,144.23267694655806,21.043
wasm2c,90,stress,2,145.62234899494797,20.503
process,90,stress,0,180.55421800818294,18.141
process,90,stress,1,176.46171594969928,16.508
process,90,stress,2,183.1734690349549,16.448
