backend,size_bytes,level,iter,wall_ms,sandbox_ms,native_ms
native,262144,1,0,1.6773879760876298,,0.888
native,262144,1,1,1.6998419887386262,,1.047
native,262144,1,2,1.9864310161210597,,1.248
wasm2c,262144,1,0,4.2518830159679055,1.454,1.334
wasm2c,262144,1,1,4.221448005409911,1.442,1.316
wasm2c,262144,1,2,3.381799004273489,1.1,0.948
process,262144,1,0,37.30922398972325,8.006,1.303
process,262144,1,1,37.32937198947184,8.05,1.316
process,262144,1,2,200.78760301112197,8.599,1.293
native,262144,6,0,2.4265520041808486,,1.628
native,262144,6,1,2.371875976677984,,1.628
native,262144,6,2,2.1089720248710364,,1.376
wasm2c,262144,6,0,3.8198069960344583,1.407,1.194
wasm2c,262144,6,1,4.791831015609205,1.91,1.641
wasm2c,262144,6,2,4.408595996210352,1.69,1.409
process,262144,6,0,37.26033100974746,7.846,1.496
process,262144,6,1,36.68341800221242,7.687,1.329
process,262144,6,2,36.429556988878176,7.611,1.114
native,1048576,1,0,5.441271001473069,,4.54
native,1048576,1,1,3.3151689858641475,,2.705
native,1048576,1,2,3.540128003805876,,2.795
wasm2c,1048576,1,0,9.562819002894685,4.217,3.868
wasm2c,1048576,1,1,6.901465996634215,2.983,2.731
wasm2c,1048576,1,2,7.277245982550085,3.079,2.83
process,1048576,1,0,141.78531599463895,110.961,2.849
process,1048576,1,1,101.77266100072302,69.74,3.909
process,1048576,1,2,101.50447400519624,69.431,4.001
native,1048576,6,0,4.770055005792528,,4.014
native,1048576,6,1,4.3395770189817995,,3.694
native,1048576,6,2,5.750976997660473,,5.051
wasm2c,1048576,6,0,11.80969100096263,5.493,4.803
wasm2c,1048576,6,1,9.157888009212911,4.152,3.6
wasm2c,1048576,6,2,11.391200008802116,5.303,4.688
process,1048576,6,0,58.900472009554505,27.646,3.501
process,1048576,6,1,63.712369999848306,30.703,4.692
process,1048576,6,2,61.202743992907926,28.13,4.87
native,4194304,1,0,11.710668011801317,,10.575
native,4194304,1,1,13.6997869994957,,12.512
native,4194304,1,2,13.433615007670596,,12.113
wasm2c,4194304,1,0,24.572401016484946,11.891,10.757
wasm2c,4194304,1,1,24.472958990372717,11.634,10.9
wasm2c,4194304,1,2,23.855140985688195,11.555,10.745
process,4194304,1,0,318.26260100933723,277.489,12.114
process,4194304,1,1,320.79170501674525,277.944,13.839
process,4194304,1,2,314.4807100179605,275.026,10.848
native,4194304,6,0,14.39666299847886,,13.361
native,4194304,6,1,16.54800699907355,,15.447
native,4194304,6,2,15.028625988634303,,13.941
wasm2c,4194304,6,0,30.380672978935763,15.49,13.378
wasm2c,4194304,6,1,31.029613019200042,15.445,13.739
wasm2c,4194304,6,2,30.713911983184516,15.474,13.501
process,4194304,6,0,153.09210401028395,109.629,14.447
process,4194304,6,1,148.98350901785307,106.771,13.607
process,4194304,6,2,153.51016097702086,108.32,16.84
native,16777216,1,0,43.73471799772233,,41.203
native,16777216,1,1,43.669341976055875,,41.075
native,16777216,1,2,43.83398499339819,,41.193
wasm2c,16777216,1,0,91.93673101253808,45.641,42.11
wasm2c,16777216,1,1,92.2576820012182,45.797,42.157
wasm2c,16777216,1,2,98.31454898812808,48.555,44.94
process,16777216,1,0,1128.0450759804808,1049.004,47.278
process,16777216,1,1,956.7568160127848,877.36,47.215
process,16777216,1,2,1140.5552799988072,965.323,47.007
native,16777216,6,0,56.19999099872075,,53.622
native,16777216,6,1,55.06803098251112,,52.532
native,16777216,6,2,56.181238003773615,,53.572
wasm2c,16777216,6,0,121.0486970085185,62.526,54.308
wasm2c,16777216,6,1,120.12271099956706,61.533,54.34
wasm2c,16777216,6,2,117.60181697900407,60.329,53.177
process,16777216,6,0,514.2714209796395,419.155,63.473
process,16777216,6,1,490.20251000183634,407.031,53.103
process,16777216,6,2,497.2994510026183,410.316,56.061
