backend,size_bytes,level,shape,iter,wall_ms,compression_ms
native,262144,1,loop,0,6.337979924865067,4.796
native,262144,1,loop,1,5.42374502401799,4.215
native,262144,1,loop,2,8.087279042229056,6.523
wasm2c,262144,1,loop,0,6.661589024588466,5.104
wasm2c,262144,1,loop,1,6.022049929015338,4.905
wasm2c,262144,1,loop,2,7.217662059701979,5.682
process,262144,1,loop,0,14.72443004604429,11.582
process,262144,1,loop,1,14.752186951227486,11.132
process,262144,1,loop,2,21.05606102850288,17.099
native,262144,6,loop,0,7.579060038551688,6.102
native,262144,6,loop,1,5.832656053826213,4.527
native,262144,6,loop,2,5.554046016186476,4.357
wasm2c,262144,6,loop,0,6.036068079993129,4.883
wasm2c,262144,6,loop,1,8.131868089549243,6.614
wasm2c,262144,6,loop,2,6.1048229690641165,4.965
process,262144,6,loop,0,14.053333085030317,11.129
process,262144,6,loop,1,21.066185901872814,17.752
process,262144,6,loop,2,17.53938407637179,13.832
native,262144,9,loop,0,5.632546963170171,4.388
native,262144,9,loop,1,6.370673072524369,4.679
native,262144,9,loop,2,8.705730084329844,6.932
wasm2c,262144,9,loop,0,8.992007002234459,7.452
wasm2c,262144,9,loop,1,7.498209015466273,5.856
wasm2c,262144,9,loop,2,6.9016850320622325,5.332
process,262144,9,loop,0,18.722050939686596,15.459
process,262144,9,loop,1,18.98387202527374,15.737
process,262144,9,loop,2,18.787260982207954,16.097
native,1048576,1,loop,0,20.606817910447717,17.55
native,1048576,1,loop,1,19.433171954005957,17.68
native,1048576,1,loop,2,19.92312795482576,17.88
wasm2c,1048576,1,loop,0,24.894758011214435,22.827
wasm2c,1048576,1,loop,1,26.19317197240889,24.031
wasm2c,1048576,1,loop,2,23.981597973033786,22.149
process,1048576,1,loop,0,72.19884998630732,68.402
process,1048576,1,loop,1,60.64527400303632,56.764
process,1048576,1,loop,2,64.85586403869092,61.406
native,1048576,6,loop,0,20.36675694398582,18.197
native,1048576,6,loop,1,22.4376970436424,20.261
native,1048576,6,loop,2,19.44662898313254,18.092
wasm2c,1048576,6,loop,0,21.91898797173053,20.062
wasm2c,1048576,6,loop,1,21.725462982431054,19.907
wasm2c,1048576,6,loop,2,21.8152089510113,19.866
process,1048576,6,loop,0,64.39214292913675,60.454
process,1048576,6,loop,1,54.61810703855008,50.586
process,1048576,6,loop,2,59.237836045213044,55.405
native,1048576,9,loop,0,21.634451928548515,19.586
native,1048576,9,loop,1,21.040174062363803,19.105
native,1048576,9,loop,2,20.63600707333535,18.652
wasm2c,1048576,9,loop,0,281.5082570305094,19.967
wasm2c,1048576,9,loop,1,22.512695053592324,20.355
wasm2c,1048576,9,loop,2,21.743776043877006,19.874
process,1048576,9,loop,0,68.43883194960654,64.418
process,1048576,9,loop,1,68.91176791395992,65.149
process,1048576,9,loop,2,56.048960075713694,52.13
native,4194304,1,loop,0,73.7183199962601,70.25
native,4194304,1,loop,1,74.35292494483292,71.389
native,4194304,1,loop,2,74.3794139707461,71.273
wasm2c,4194304,1,loop,0,82.3008370352909,79.302
wasm2c,4194304,1,loop,1,80.46968001872301,77.829
wasm2c,4194304,1,loop,2,85.76074207667261,82.368
process,4194304,1,loop,0,253.65451292600483,247.926
process,4194304,1,loop,1,232.15382895432413,227.297
process,4194304,1,loop,2,235.46302691102028,229.659
native,4194304,6,loop,0,77.85681704990566,74.074
native,4194304,6,loop,1,75.70909010246396,72.986
native,4194304,6,loop,2,76.0704759741202,72.979
wasm2c,4194304,6,loop,0,84.137171972543,80.535
wasm2c,4194304,6,loop,1,84.65688198339194,81.229
wasm2c,4194304,6,loop,2,82.62395206838846,80.044
process,4194304,6,loop,0,235.21914391312748,230.527
process,4194304,6,loop,1,251.830134075135,246.399
process,4194304,6,loop,2,253.26064100954682,248.133
native,4194304,9,loop,0,83.6134230485186,79.857
native,4194304,9,loop,1,75.21272404119372,72.205
native,4194304,9,loop,2,77.06367003265768,73.729
wasm2c,4194304,9,loop,0,86.75243600737303,83.817
wasm2c,4194304,9,loop,1,83.93123210407794,81.042
wasm2c,4194304,9,loop,2,84.24604998435825,81.37
process,4194304,9,loop,0,228.13758696429431,223.06
process,4194304,9,loop,1,246.51860096491873,240.876
process,4194304,9,loop,2,253.83881304878742,248.794
native,16777216,1,loop,0,290.2825459605083,284.135
native,16777216,1,loop,1,289.697362924926,283.062
native,16777216,1,loop,2,294.96067098807544,286.15
wasm2c,16777216,1,loop,0,321.0886400192976,313.993
wasm2c,16777216,1,loop,1,319.4210670189932,312.6
wasm2c,16777216,1,loop,2,320.18708100076765,313.411
process,16777216,1,loop,0,980.9319440973923,971.651
process,16777216,1,loop,1,998.4977609710768,989.941
process,16777216,1,loop,2,950.0670640263706,941.134
native,16777216,6,loop,0,297.45454096700996,291.199
native,16777216,6,loop,1,298.1348510365933,291.461
native,16777216,6,loop,2,295.5365179805085,289.132
wasm2c,16777216,6,loop,0,338.20877503603697,329.361
wasm2c,16777216,6,loop,1,328.77585908863693,322.098
wasm2c,16777216,6,loop,2,337.61704503558576,330.621
process,16777216,6,loop,0,904.2303400347009,895.931
process,16777216,6,loop,1,958.8191610528156,925.285
