backend,size_bytes,level,shape,iter,wall_ms,compression_ms
native,262144,1,loop,0,5.334260989911854,4.329
native,262144,1,loop,1,5.485231988132,4.442
native,262144,1,loop,2,6.024735048413277,5.248
wasm2c,262144,1,loop,0,6.692251074127853,5.138
wasm2c,262144,1,loop,1,5.786517052911222,4.79
wasm2c,262144,1,loop,2,5.736739025451243,4.827
process,262144,1,loop,0,14.402233064174652,11.193
process,262144,1,loop,1,16.563576995395124,13.461
process,262144,1,loop,2,14.699129038490355,11.616
meta_adaptive,262144,1,loop,0,15.731586958281696,12.656
meta_adaptive,262144,1,loop,1,14.654192025773227,11.641
meta_adaptive,262144,1,loop,2,14.438931946642697,11.502
native,262144,6,loop,0,5.244605941697955,4.427
native,262144,6,loop,1,6.607900955714285,5.77
native,262144,6,loop,2,8.033890975639224,6.992
wasm2c,262144,6,loop,0,5.961942952126265,4.925
wasm2c,262144,6,loop,1,8.225783938542008,6.731
wasm2c,262144,6,loop,2,8.046871051192284,6.613
process,262144,6,loop,0,17.57079001981765,13.911
process,262144,6,loop,1,22.492644959129393,18.954
process,262144,6,loop,2,17.086178064346313,14.121
meta_adaptive,262144,6,loop,0,16.26506494358182,12.801
meta_adaptive,262144,6,loop,1,14.907495002262294,11.804
meta_adaptive,262144,6,loop,2,15.430317958816886,12.855
native,262144,9,loop,0,5.296454997733235,4.363
native,262144,9,loop,1,5.699480068869889,4.767
native,262144,9,loop,2,6.232548039406538,4.753
wasm2c,262144,9,loop,0,5.947881028987467,4.96
wasm2c,262144,9,loop,1,5.970846046693623,4.893
wasm2c,262144,9,loop,2,7.189015974290669,5.676
process,262144,9,loop,0,14.152708929032087,11.586
process,262144,9,loop,1,15.86614002007991,12.917
process,262144,9,loop,2,19.52553994487971,15.993
meta_adaptive,262144,9,loop,0,14.566006022505462,11.859
meta_adaptive,262144,9,loop,1,15.445710974745452,12.549
meta_adaptive,262144,9,loop,2,17.793760052882135,12.123
native,1048576,1,loop,0,74.15069395210594,17.801
native,1048576,1,loop,1,26.70847997069359,17.814
native,1048576,1,loop,2,27.763541089370847,17.517
wasm2c,1048576,1,loop,0,42.83128690440208,19.622
wasm2c,1048576,1,loop,1,26.688111945986748,19.402
wasm2c,1048576,1,loop,2,24.783805012702942,19.465
process,1048576,1,loop,0,66.05441099964082,62.641
process,1048576,1,loop,1,59.423877974040806,56.195
process,1048576,1,loop,2,58.251369977369905,54.993
meta_adaptive,1048576,1,loop,0,49.34892593882978,45.968
meta_adaptive,1048576,1,loop,1,50.520636956207454,47.242
meta_adaptive,1048576,1,loop,2,50.460581900551915,46.811
native,1048576,6,loop,0,19.50321299955249,18.342
native,1048576,6,loop,1,20.004329038783908,18.842
native,1048576,6,loop,2,19.8987009935081,18.658
wasm2c,1048576,6,loop,0,21.717942086979747,20.216
wasm2c,1048576,6,loop,1,21.559354034252465,20.004
wasm2c,1048576,6,loop,2,21.855060011148453,20.46
process,1048576,6,loop,0,63.259104965254664,59.691
process,1048576,6,loop,1,66.18717301171273,62.208
process,1048576,6,loop,2,68.31396208144724,64.677
meta_adaptive,1048576,6,loop,0,50.616440013982356,47.128
meta_adaptive,1048576,6,loop,1,51.518182968720794,48.237
meta_adaptive,1048576,6,loop,2,55.30204903334379,52.096
native,1048576,9,loop,0,19.17281304486096,17.926
native,1048576,9,loop,1,19.41391092259437,18.251
native,1048576,9,loop,2,19.348945003002882,18.106
wasm2c,1048576,9,loop,0,21.28569397609681,19.853
wasm2c,1048576,9,loop,1,25.94623400364071,24.157
wasm2c,1048576,9,loop,2,25.677156052552164,23.895
process,1048576,9,loop,0,50.50818796735257,47.139
process,1048576,9,loop,1,63.07261192705482,59.718
process,1048576,9,loop,2,54.098893073387444,50.495
meta_adaptive,1048576,9,loop,0,51.92457197699696,48.34
meta_adaptive,1048576,9,loop,1,52.835846901871264,49.009
meta_adaptive,1048576,9,loop,2,50.84595503285527,47.046
native,4194304,1,loop,0,72.8967470349744,70.293
native,4194304,1,loop,1,74.48006107006222,72.219
native,4194304,1,loop,2,75.45236591249704,72.241
wasm2c,4194304,1,loop,0,80.52139007486403,78.113
wasm2c,4194304,1,loop,1,81.11493999604136,78.429
wasm2c,4194304,1,loop,2,85.01786296255887,81.729
process,4194304,1,loop,0,211.5641370182857,206.819
process,4194304,1,loop,1,244.4737919140607,239.491
process,4194304,1,loop,2,228.93790598027408,224.845
meta_adaptive,4194304,1,loop,0,185.8652780065313,181.386
meta_adaptive,4194304,1,loop,1,188.85323603171855,183.817
meta_adaptive,4194304,1,loop,2,187.51660897396505,183.134
native,4194304,6,loop,0,74.45582596119493,72.44
native,4194304,6,loop,1,78.18591804243624,75.903
native,4194304,6,loop,2,74.29086300544441,72.194
wasm2c,4194304,6,loop,0,82.51255296636373,79.843
wasm2c,4194304,6,loop,1,82.01569505035877,79.599
wasm2c,4194304,6,loop,2,85.04735899623483,81.827
process,4194304,6,loop,0,220.9122129715979,215.809
process,4194304,6,loop,1,407.6296290149912,250.888
process,4194304,6,loop,2,238.35942405276,234.01
meta_adaptive,4194304,6,loop,0,189.3887179903686,185.284
meta_adaptive,4194304,6,loop,1,188.2081510266289,183.972
meta_adaptive,4194304,6,loop,2,190.93248806893826,186.49
native,4194304,9,loop,0,78.10994703322649,75.737
native,4194304,9,loop,1,74.53252607956529,72.307
native,4194304,9,loop,2,77.17747497372329,74.804
wasm2c,4194304,9,loop,0,83.0164949875325,80.483
wasm2c,4194304,9,loop,1,87.05501502845436,84.531
wasm2c,4194304,9,loop,2,83.50397809408605,79.754
process,4194304,9,loop,0,240.32020498998463,236.496
process,4194304,9,loop,1,248.9431380527094,244.631
process,4194304,9,loop,2,237.8279980039224,233.377
meta_adaptive,4194304,9,loop,0,188.5589100420475,184.083
meta_adaptive,4194304,9,loop,1,189.78670798242092,185.434
meta_adaptive,4194304,9,loop,2,188.62194602843374,184.147
