backend,size_bytes,level,shape,iter,wall_ms,compression_ms
native,262144,1,loop,0,5.02433895599097,4.321
native,262144,1,loop,1,5.091418977826834,4.242
native,262144,1,loop,2,7.289027096703649,6.388
wasm2c,262144,1,loop,0,5.755068035796285,4.738
wasm2c,262144,1,loop,1,8.40498204343021,6.994
wasm2c,262144,1,loop,2,6.801742012612522,5.384
process,262144,1,loop,0,19.160469062626362,15.912
process,262144,1,loop,1,17.92324602138251,14.21
process,262144,1,loop,2,14.77814291138202,11.858
meta_process,262144,1,loop,0,22.530048969201744,19.091
meta_process,262144,1,loop,1,24.03235691599548,20.383
meta_process,262144,1,loop,2,19.879864994436502,17.099
meta_wasm,262144,1,loop,0,14.660319895483553,11.432
meta_wasm,262144,1,loop,1,15.331045957282186,12.435
meta_wasm,262144,1,loop,2,15.204709023237228,11.961
native,262144,1,stress,0,5.02433895599097,4.321
native,262144,1,stress,1,5.091418977826834,4.242
native,262144,1,stress,2,7.289027096703649,6.388
wasm2c,262144,1,stress,0,8.715385920368135,7.141
wasm2c,262144,1,stress,1,8.453676011413336,6.869
wasm2c,262144,1,stress,2,8.319412008859217,6.264
process,262144,1,stress,0,11.498008971102536,8.591
process,262144,1,stress,1,14.178349985741079,10.654
process,262144,1,stress,2,12.386751011945307,9.008
native,262144,6,loop,0,5.90720190666616,5.08
native,262144,6,loop,1,6.218570051714778,5.417
native,262144,6,loop,2,6.0751250712201,5.362
wasm2c,262144,6,loop,0,6.750673986971378,5.335
wasm2c,262144,6,loop,1,6.33340806234628,5.073
wasm2c,262144,6,loop,2,6.581282010301948,5.268
process,262144,6,loop,0,15.41661994997412,12.087
process,262144,6,loop,1,18.682274036109447,14.919
process,262144,6,loop,2,14.79637494776398,11.45
meta_process,262144,6,loop,0,23.506077006459236,19.981
meta_process,262144,6,loop,1,23.52649299427867,19.937
meta_process,262144,6,loop,2,21.902243024669588,18.099
meta_wasm,262144,6,loop,0,15.422586002387106,11.901
meta_wasm,262144,6,loop,1,15.565459034405649,12.031
meta_wasm,262144,6,loop,2,16.793114016763866,13.525
native,262144,6,stress,0,5.90720190666616,5.08
native,262144,6,stress,1,6.218570051714778,5.417
native,262144,6,stress,2,6.0751250712201,5.362
wasm2c,262144,6,stress,0,8.41969100292772,6.773
wasm2c,262144,6,stress,1,6.434481008909643,4.875
wasm2c,262144,6,stress,2,6.647282047197223,5.06
process,262144,6,stress,0,12.350645964033902,8.561
process,262144,6,stress,1,11.796306935139,8.024
process,262144,6,stress,2,12.286227894946933,8.826
native,262144,9,loop,0,6.495045032352209,5.72
native,262144,9,loop,1,6.5038889879360795,5.543
native,262144,9,loop,2,6.077921949326992,5.363
wasm2c,262144,9,loop,0,8.10410501435399,6.552
wasm2c,262144,9,loop,1,5.885750986635685,4.891
wasm2c,262144,9,loop,2,6.078912992961705,4.91
process,262144,9,loop,0,18.869034945964813,15.057
process,262144,9,loop,1,19.623600994236767,16.458
process,262144,9,loop,2,17.25596096366644,13.769
meta_process,262144,9,loop,0,20.952109014615417,17.772
meta_process,262144,9,loop,1,18.905304023064673,15.837
meta_process,262144,9,loop,2,19.240542082116008,15.917
meta_wasm,262144,9,loop,0,15.733732958324254,12.685
meta_wasm,262144,9,loop,1,14.431401970796287,11.759
meta_wasm,262144,9,loop,2,15.966756036505103,12.763
native,262144,9,stress,0,6.495045032352209,5.72
native,262144,9,stress,1,6.5038889879360795,5.543
native,262144,9,stress,2,6.077921949326992,5.363
wasm2c,262144,9,stress,0,6.681487080641091,5.154
wasm2c,262144,9,stress,1,7.7263269340619445,6.296
wasm2c,262144,9,stress,2,8.57701397035271,7.09
process,262144,9,stress,0,13.330424902960658,9.645
process,262144,9,stress,1,14.036213979125023,10.513
process,262144,9,stress,2,11.107861064374447,7.521
native,1048576,1,loop,0,19.114654045552015,17.562
native,1048576,1,loop,1,19.160383963026106,18.159
native,1048576,1,loop,2,19.66056996025145,18.616
wasm2c,1048576,1,loop,0,21.47942502051592,19.739
wasm2c,1048576,1,loop,1,20.746716996654868,19.366
wasm2c,1048576,1,loop,2,24.08637199550867,22.21
process,1048576,1,loop,0,61.42457597889006,57.75
process,1048576,1,loop,1,61.91101798322052,57.802
process,1048576,1,loop,2,63.51575895678252,60.405
meta_process,1048576,1,loop,0,74.45771805942059,70.822
meta_process,1048576,1,loop,1,72.6476910058409,68.612
meta_process,1048576,1,loop,2,74.7331699822098,70.974
meta_wasm,1048576,1,loop,0,49.754461040720344,46.372
meta_wasm,1048576,1,loop,1,48.989112954586744,45.294
meta_wasm,1048576,1,loop,2,50.42903800494969,47.143
native,1048576,1,stress,0,19.114654045552015,17.562
native,1048576,1,stress,1,19.160383963026106,18.159
native,1048576,1,stress,2,19.66056996025145,18.616
wasm2c,1048576,1,stress,0,21.70309505891055,19.45
wasm2c,1048576,1,stress,1,21.46153396461159,19.247
wasm2c,1048576,1,stress,2,21.7269379645586,19.308
process,1048576,1,stress,0,38.47967798355967,33.774
process,1048576,1,stress,1,37.41137695033103,32.75
process,1048576,1,stress,2,38.76693395432085,34.097
native,1048576,6,loop,0,20.87056403979659,19.408
native,1048576,6,loop,1,19.244413007982075,17.956
native,1048576,6,loop,2,19.12741200067103,17.997
wasm2c,1048576,6,loop,0,21.30696503445506,19.901
wasm2c,1048576,6,loop,1,22.017152048647404,20.032
wasm2c,1048576,6,loop,2,21.706448984332383,19.885
process,1048576,6,loop,0,60.90060400310904,57.256
