backend,size_bytes,level,iter,wall_ms,sandbox_ms,native_ms
native,262144,1,0,2.085541025735438,,1.119
native,262144,1,1,2.0673329709097743,,1.251
native,262144,1,2,2.099520992487669,,1.288
native,262144,1,3,2.2044339566491544,,1.283
native,262144,1,4,2.2798890131525695,,1.354
wasm2c,262144,1,0,3.4154619788751006,1.032,0.929
wasm2c,262144,1,1,249.59038203814998,1.37,1.269
wasm2c,262144,1,2,4.436628019902855,1.392,1.285
wasm2c,262144,1,3,4.256983986124396,1.432,1.311
wasm2c,262144,1,4,4.146679013501853,1.382,1.294
process,262144,1,0,9.701794013381004,4.975,1.271
process,262144,1,1,8.281339018139988,3.892,0.989
process,262144,1,2,8.038564992602915,3.674,0.951
process,262144,1,3,9.200886997859925,4.861,1.315
process,262144,1,4,9.376507950946689,4.935,1.277
meta_process,262144,1,0,10.157456970773637,5.361,1.305
meta_process,262144,1,1,8.010126010049134,3.589,0.847
meta_process,262144,1,2,10.26424003066495,5.546,1.323
meta_process,262144,1,3,10.249213024508208,5.391,1.234
meta_process,262144,1,4,9.716572007164359,5.236,1.208
meta_wasm,262144,1,0,6.387212022673339,2.211,1.334
meta_wasm,262144,1,1,6.864546972792596,2.204,1.367
meta_wasm,262144,1,2,6.603564019314945,2.218,1.332
meta_wasm,262144,1,3,5.192944023292512,1.623,0.798
meta_wasm,262144,1,4,6.603787012863904,2.168,1.324
meta_adaptive,262144,1,0,6.049278017599136,1.921,1.11
meta_adaptive,262144,1,1,6.8000010214746,2.2,1.37
meta_adaptive,262144,1,2,5.276773008517921,1.534,0.814
meta_adaptive,262144,1,3,5.564506980590522,1.681,0.88
meta_adaptive,262144,1,4,5.097804008983076,1.762,0.946
native,262144,6,0,1.6961089568212628,,1.114
native,262144,6,1,1.6586359706707299,,1.03
native,262144,6,2,1.6648549935780466,,1.035
native,262144,6,3,1.9153939792886376,,1.304
native,262144,6,4,1.877465983852744,,1.269
wasm2c,262144,6,0,4.874083038885146,1.901,1.638
wasm2c,262144,6,1,3.9261369965970516,1.359,1.144
wasm2c,262144,6,2,3.453543991781771,1.23,1.023
wasm2c,262144,6,3,3.257715026848018,1.262,1.087
wasm2c,262144,6,4,3.857599978800863,1.371,1.138
process,262144,6,0,8.704469015356153,4.204,1.371
process,262144,6,1,9.247836947906762,4.692,1.53
process,262144,6,2,9.682641015388072,5.007,1.559
process,262144,6,3,8.904538990464061,4.189,1.438
process,262144,6,4,10.242381016723812,5.013,1.628
meta_process,262144,6,0,9.53570200363174,4.786,1.568
meta_process,262144,6,1,8.705201034899801,3.954,1.274
meta_process,262144,6,2,9.550266026053578,4.724,1.438
meta_process,262144,6,3,9.626119048334658,4.459,1.558
meta_process,262144,6,4,10.29499399010092,5.321,1.664
meta_wasm,262144,6,0,6.552605016622692,2.163,1.543
meta_wasm,262144,6,1,6.189731997437775,1.587,1.303
meta_wasm,262144,6,2,5.143860005773604,1.544,1.031
meta_wasm,262144,6,3,5.761513952165842,1.7,1.201
meta_wasm,262144,6,4,6.844015035312623,2.195,1.638
meta_adaptive,262144,6,0,5.76476997230202,1.617,1.198
meta_adaptive,262144,6,1,6.515485001727939,2.175,1.663
meta_adaptive,262144,6,2,5.698174005374312,1.62,1.183
meta_adaptive,262144,6,3,4.918448976241052,1.501,1.037
meta_adaptive,262144,6,4,5.863963044248521,1.923,1.437
native,262144,9,0,1.7432660097256303,,1.065
native,262144,9,1,1.7114290385507047,,1.108
native,262144,9,2,1.7778929905034602,,1.121
native,262144,9,3,1.829667016863823,,1.19
native,262144,9,4,1.5830870252102613,,1.084
wasm2c,262144,9,0,3.325253026559949,1.283,1.084
wasm2c,262144,9,1,3.6176659632474184,1.285,1.082
wasm2c,262144,9,2,3.2887569977901876,1.27,1.07
wasm2c,262144,9,3,3.6356199998408556,1.289,1.074
wasm2c,262144,9,4,3.347545978613198,1.282,1.086
process,262144,9,0,8.109510003123432,3.723,1.266
process,262144,9,1,9.095842950046062,4.647,1.569
process,262144,9,2,7.763346016872674,3.358,1.127
process,262144,9,3,10.067513037938625,4.937,1.549
process,262144,9,4,9.290019981563091,4.807,1.776
meta_process,262144,9,0,9.90933901630342,5.009,1.699
meta_process,262144,9,1,9.998774970881641,5.094,1.65
meta_process,262144,9,2,10.180074023082852,5.205,1.765
meta_process,262144,9,3,7.907202001661062,3.462,1.146
meta_process,262144,9,4,10.014930972829461,5.064,1.72
meta_wasm,262144,9,0,5.27149299159646,1.667,1.2
meta_wasm,262144,9,1,5.13303600018844,1.544,1.082
meta_wasm,262144,9,2,7.104954042006284,2.267,1.695
meta_wasm,262144,9,3,5.611316999420524,1.624,1.112
meta_wasm,262144,9,4,5.806766974274069,1.661,1.18
meta_adaptive,262144,9,0,6.0392890009097755,1.731,1.292
meta_adaptive,262144,9,1,6.758595001883805,2.14,1.599
meta_adaptive,262144,9,2,5.507958005182445,1.454,1.213
meta_adaptive,262144,9,3,6.40761898830533,2.136,1.623
meta_adaptive,262144,9,4,6.203129014465958,1.75,1.261
native,1048576,1,0,3.5856030299328268,,2.758
native,1048576,1,1,4.124826984480023,,3.333
native,1048576,1,2,3.914870962034911,,3.157
native,1048576,1,3,4.380750993732363,,3.606
native,1048576,1,4,3.8176639936864376,,3.001
wasm2c,1048576,1,0,6.8936109892092645,2.982,2.721
wasm2c,1048576,1,1,7.725991017650813,3.274,2.956
wasm2c,1048576,1,2,9.059357980731875,3.936,3.637
wasm2c,1048576,1,3,7.02534697484225,3.028,2.816
wasm2c,1048576,1,4,7.5384589727036655,3.073,2.785
process,1048576,1,0,21.552961959969252,14.915,3.678
process,1048576,1,1,20.469299983233213,13.417,3.253
process,1048576,1,2,20.159345993306488,13.395,3.334
process,1048576,1,3,19.288948038592935,12.984,3.108
process,1048576,1,4,20.945477997884154,13.743,3.427
meta_process,1048576,1,0,27.652914985083044,19.289,4.772
meta_process,1048576,1,1,24.680380010977387,16.663,3.974
meta_process,1048576,1,2,21.286663017235696,14.663,3.209
meta_process,1048576,1,3,20.902725984342396,14.157,3.033
meta_process,1048576,1,4,26.39404300134629,18.121,4.273
meta_wasm,1048576,1,0,11.253529984969646,5.167,2.854
meta_wasm,1048576,1,1,10.522188036702573,5.083,2.75
meta_wasm,1048576,1,2,11.396227986551821,5.295,2.821
meta_wasm,1048576,1,3,11.775971972383559,5.281,2.92
meta_wasm,1048576,1,4,11.134464992210269,5.187,2.847
meta_adaptive,1048576,1,0,11.119773029349744,5.476,2.945
meta_adaptive,1048576,1,1,11.795577011071146,5.691,3.18
meta_adaptive,1048576,1,2,11.67624699883163,5.719,3.282
meta_adaptive,1048576,1,3,10.956199024803936,5.203,2.787
meta_adaptive,1048576,1,4,12.693579017650336,5.797,3.4
native,1048576,6,0,4.402892023790628,,3.623
native,1048576,6,1,4.171390028204769,,3.535
native,1048576,6,2,4.333621996920556,,3.595
native,1048576,6,3,4.644893982913345,,3.745
native,1048576,6,4,4.7726090415380895,,3.95
wasm2c,1048576,6,0,8.923198038246483,4.074,3.665
wasm2c,1048576,6,1,9.6119639929384,4.36,3.724
wasm2c,1048576,6,2,9.130824008025229,4.191,3.609
wasm2c,1048576,6,3,8.883130038157105,4.126,3.609
wasm2c,1048576,6,4,8.909024007152766,4.116,3.573
process,1048576,6,0,23.732542991638184,15.027,5.083
process,1048576,6,1,19.156750990077853,12.223,3.912
process,1048576,6,2,22.53434801241383,14.535,4.639
process,1048576,6,3,24.60993896238506,16.186,5.391
process,1048576,6,4,21.29503298783675,13.225,4.298
meta_process,1048576,6,0,19.89515300374478,12.368,3.733
meta_process,1048576,6,1,25.448746979236603,14.747,4.669
meta_process,1048576,6,2,24.684860953129828,15.697,4.876
meta_process,1048576,6,3,26.835097989533097,17.321,5.451
meta_process,1048576,6,4,25.019222986884415,16.404,5.13
meta_wasm,1048576,6,0,11.311156034935266,4.532,3.521
meta_wasm,1048576,6,1,11.444797040894628,4.727,3.71
meta_wasm,1048576,6,2,14.983484987169504,6.354,5.19
meta_wasm,1048576,6,3,13.25766002992168,5.538,4.457
meta_wasm,1048576,6,4,12.57039699703455,5.168,4.145
meta_adaptive,1048576,6,0,12.506166996899992,5.114,4.254
meta_adaptive,1048576,6,1,11.102309974376112,4.64,3.59
meta_adaptive,1048576,6,2,12.197454983834177,4.96,3.987
meta_adaptive,1048576,6,3,13.37222201982513,5.493,4.432
meta_adaptive,1048576,6,4,15.107078012079,6.535,5.302
