backend,size_bytes,level,iter,wall_ms,sandbox_ms,native_ms
native,262144,1,0,1.9281420100014657,,1.128
native,262144,1,1,2.0424569956958294,,1.307
native,262144,1,2,2.087232016492635,,1.292
process_rpclib,262144,1,0,35.89600100531243,6.453,1.325
process_rpclib,262144,1,1,35.3465529915411,5.884,1.321
process_rpclib,262144,1,2,35.26619600597769,6.01,1.305
process_capnp,262144,1,0,9.563601022819057,4.936,1.319
process_capnp,262144,1,1,9.149176999926567,4.922,1.306
process_capnp,262144,1,2,7.781045016599819,3.393,0.937
native,262144,6,0,2.394773007836193,,1.619
native,262144,6,1,2.3590729979332536,,1.619
native,262144,6,2,2.4444820010103285,,1.676
process_rpclib,262144,6,0,35.50502299913205,5.781,1.72
process_rpclib,262144,6,1,35.241502977441996,5.661,1.614
process_rpclib,262144,6,2,35.34553601639345,5.678,1.647
process_capnp,262144,6,0,9.910416003549471,4.974,1.641
process_capnp,262144,6,1,9.689231985248625,4.697,1.598
process_capnp,262144,6,2,9.952936001354828,4.972,1.642
native,262144,9,0,2.188272017519921,,1.427
native,262144,9,1,2.025318011874333,,1.368
native,262144,9,2,2.3968450259417295,,1.669
process_rpclib,262144,9,0,35.62226099893451,5.909,1.704
process_rpclib,262144,9,1,33.71342099853791,4.197,1.659
process_rpclib,262144,9,2,34.105908998753875,5.571,1.238
process_capnp,262144,9,0,10.279114008881152,5.284,1.691
process_capnp,262144,9,1,8.943877997808158,4.832,1.564
process_capnp,262144,9,2,9.986487013520673,4.84,1.707
native,1048576,1,0,3.508230991428718,,2.77
native,1048576,1,1,5.451171018648893,,4.586
native,1048576,1,2,5.062487995019183,,3.928
process_rpclib,1048576,1,0,94.33303101104684,61.741,4.026
process_rpclib,1048576,1,1,48.5485190001782,16.419,3.466
process_rpclib,1048576,1,2,91.33347700117156,60.13,2.81
process_capnp,1048576,1,0,25.168824999127537,17.036,4.286
process_capnp,1048576,1,1,26.248442009091377,17.984,4.722
process_capnp,1048576,1,2,22.705467010382563,15.367,3.736
native,1048576,6,0,6.579239008715376,,5.563
native,1048576,6,1,4.933971998980269,,4.07
native,1048576,6,2,5.973070015897974,,5.128
process_rpclib,1048576,6,0,55.46768300700933,21.385,5.626
process_rpclib,1048576,6,1,49.82917301822454,16.271,5.241
process_rpclib,1048576,6,2,52.273119013989344,20.927,3.502
process_capnp,1048576,6,0,27.525743993464857,17.754,5.782
process_capnp,1048576,6,1,26.502004999201745,17.151,5.448
process_capnp,1048576,6,2,26.451089972397313,16.984,5.622
native,1048576,9,0,4.468956001801416,,3.697
native,1048576,9,1,4.255867999745533,,3.557
native,1048576,9,2,4.519846988841891,,3.757
process_rpclib,1048576,9,0,53.41141199460253,20.962,4.509
process_rpclib,1048576,9,1,52.35377702047117,20.454,3.609
process_rpclib,1048576,9,2,46.798063995083794,13.966,4.62
process_capnp,1048576,9,0,24.405054980888963,15.461,5.054
process_capnp,1048576,9,1,27.396425022743642,17.625,5.869
process_capnp,1048576,9,2,22.699466993799433,13.933,4.818
native,4194304,1,0,12.890799989691004,,11.67
native,4194304,1,1,11.773545993492007,,10.683
native,4194304,1,2,11.721950984792784,,10.613
process_rpclib,4194304,1,0,293.1926699820906,249.792,14.171
process_rpclib,4194304,1,1,160.11289501329884,116.03,14.928
process_rpclib,4194304,1,2,153.613069007406,111.638,12.876
process_capnp,4194304,1,0,80.84022899856791,61.01,15.542
process_capnp,4194304,1,1,73.16876799450256,54.839,13.767
process_capnp,4194304,1,2,76.5173559775576,57.555,14.362
native,4194304,6,0,14.343677990837023,,13.175
native,4194304,6,1,16.814311005873606,,15.592
native,4194304,6,2,16.555608017370105,,15.229
process_rpclib,4194304,6,0,122.70911599625833,78.798,14.916
process_rpclib,4194304,6,1,115.69877999136224,68.545,18.01
process_rpclib,4194304,6,2,101.04640200734138,59.169,13.47
process_capnp,4194304,6,0,81.65666100103408,58.435,18.837
process_capnp,4194304,6,1,81.76829500007443,57.9,19.387
process_capnp,4194304,6,2,81.91444000112824,58.591,18.583
native,4194304,9,0,14.862402982544154,,13.849
native,4194304,9,1,15.74696201714687,,14.579
native,4194304,9,2,18.624540010932833,,17.22
process_rpclib,4194304,9,0,122.52051700488664,76.906,16.681
process_rpclib,4194304,9,1,106.0600990022067,62.395,14.806
process_rpclib,4194304,9,2,121.50310800643638,77.704,14.897
process_capnp,4194304,9,0,73.93144801608287,51.566,17.854
process_capnp,4194304,9,1,85.78562099137343,61.167,19.959
process_capnp,4194304,9,2,81.00034701055847,57.447,18.869
native,16777216,1,0,43.91145097906701,,41.114
native,16777216,1,1,43.845828011399135,,41.095
native,16777216,1,2,43.75390798668377,,41.051
process_rpclib,16777216,1,0,854.0990239998791,777.747,45.106
process_rpclib,16777216,1,1,849.4652190129273,772.051,45.335
process_rpclib,16777216,1,2,670.648125000298,594.762,44.203
process_capnp,16777216,1,0,315.06164497113787,256.749,51.298
process_capnp,16777216,1,1,321.21235100203194,258.861,54.54
process_capnp,16777216,1,2,319.1013239847962,257.158,54.298
native,16777216,6,0,56.89304298721254,,54.144
native,16777216,6,1,55.03904999932274,,52.34
native,16777216,6,2,59.367365000071004,,56.576
process_rpclib,16777216,6,0,400.1363969873637,310.495,58.246
process_rpclib,16777216,6,1,387.67542399000376,301.067,55.483
process_rpclib,16777216,6,2,393.0958959972486,298.227,62.883
process_capnp,16777216,6,0,306.56151499715634,245.51,55.244
process_capnp,16777216,6,1,314.15559598826803,246.534,60.799
process_capnp,16777216,6,2,328.17696599522606,255.389,65.938
native,16777216,9,0,56.28791800700128,,53.75
native,16777216,9,1,57.40379399503581,,54.725
native,16777216,9,2,55.763518990715966,,53.279
process_rpclib,16777216,9,0,383.69018500088714,296.992,55.52
process_rpclib,16777216,9,1,423.6451790202409,337.796,54.692
process_rpclib,16777216,9,2,348.7645639979746,258.915,58.489
process_capnp,16777216,9,0,276.06155097601004,203.522,65.44
process_capnp,16777216,9,1,269.3066489882767,204.995,58.117
process_capnp,16777216,9,2,300.4447809944395,230.517,62.505
