backend,size_bytes,level,iter,wall_ms,sandbox_ms,native_ms
native,262144,1,0,2.0659779838752,,1.309
native,262144,1,1,2.082134014926851,,1.269
native,262144,1,2,2.08826398011297,,1.332
wasm2c,262144,1,0,4.2154850088991225,1.447,1.343
wasm2c,262144,1,1,3.3145509951282293,1.006,0.912
wasm2c,262144,1,2,2.8213050100021064,0.873,0.798
capnp,262144,1,0,9.39945998834446,4.689,1.236
capnp,262144,1,1,7.340148993534967,3.407,0.878
capnp,262144,1,2,9.220946027198806,4.979,1.284
native,262144,6,0,1.6359110013581812,,1.028
native,262144,6,1,2.3554409854114056,,1.627
native,262144,6,2,1.7627610068302602,,1.048
wasm2c,262144,6,0,4.150040011154488,1.518,1.313
wasm2c,262144,6,1,3.256363997934386,1.225,1.024
wasm2c,262144,6,2,3.9207479858305305,1.459,1.193
capnp,262144,6,0,9.26244500442408,4.165,1.373
capnp,262144,6,1,7.209400995634496,3.199,1.099
capnp,262144,6,2,9.772257006261498,4.804,1.653
native,262144,9,0,2.1086590131744742,,1.353
native,262144,9,1,1.6526960243936628,,1.079
native,262144,9,2,1.7323729989584535,,1.106
wasm2c,262144,9,0,3.96702898433432,1.412,1.152
wasm2c,262144,9,1,4.2890159820672125,1.578,1.366
wasm2c,262144,9,2,3.7863489997107536,1.43,1.127
capnp,262144,9,0,9.772499994141981,4.58,1.585
capnp,262144,9,1,9.579381992807612,4.853,1.671
capnp,262144,9,2,9.792075026780367,4.67,1.612
native,1048576,1,0,4.467039980227128,,3.698
native,1048576,1,1,5.378965986892581,,4.52
native,1048576,1,2,4.553056001896039,,3.697
wasm2c,1048576,1,0,8.534726977813989,3.693,3.394
wasm2c,1048576,1,1,7.565275009255856,3.194,2.924
wasm2c,1048576,1,2,7.3152820114046335,3.077,2.768
capnp,1048576,1,0,24.717873020563275,16.65,4.348
capnp,1048576,1,1,21.854165999684483,14.5,3.607
capnp,1048576,1,2,20.733520010253415,13.642,3.363
native,1048576,6,0,4.1915010078810155,,3.509
native,1048576,6,1,5.617180984700099,,4.849
native,1048576,6,2,4.2419749952387065,,3.567
wasm2c,1048576,6,0,9.218676976161078,4.261,3.551
wasm2c,1048576,6,1,8.674126002006233,4.137,3.537
wasm2c,1048576,6,2,9.231068979715928,4.28,3.658
capnp,1048576,6,0,25.610627984860912,16.505,5.325
capnp,1048576,6,1,22.39529899088666,14.239,4.758
capnp,1048576,6,2,19.597089005401358,12.097,3.967
native,1048576,9,0,5.158248008228838,,4.384
native,1048576,9,1,5.578829004662111,,4.834
native,1048576,9,2,4.393559996969998,,3.674
wasm2c,1048576,9,0,11.471797013655305,5.358,4.678
wasm2c,1048576,9,1,9.250611998140812,4.315,3.671
wasm2c,1048576,9,2,11.300487007247284,5.239,4.531
capnp,1048576,9,0,21.558268985245377,13.284,4.712
capnp,1048576,9,1,24.023075005970895,15.061,5.229
capnp,1048576,9,2,22.59795300778933,14.055,4.729
native,4194304,1,0,13.893433002522215,,12.677
native,4194304,1,1,16.700922016752884,,15.409
native,4194304,1,2,12.003124982584268,,10.756
wasm2c,4194304,1,0,24.588624015450478,11.711,10.823
wasm2c,4194304,1,1,24.454705009702593,11.841,10.82
wasm2c,4194304,1,2,24.488675000611693,11.718,10.747
capnp,4194304,1,0,75.61403201543726,57.558,14.392
capnp,4194304,1,1,76.00343201193027,57.048,14.27
